Tiempo astronómico	Energía	Momento angular
0	-0.000111361	-0.00081759
0.01	-0.000111361	-0.00081759
0.02	-0.000111361	-0.00081759
0.03	-0.000111361	-0.00081759
0.04	-0.000111361	-0.00081759
0.05	-0.000111361	-0.00081759
0.06	-0.000111361	-0.00081759
0.07	-0.000111361	-0.00081759
0.08	-0.000111361	-0.00081759
0.09	-0.000111361	-0.00081759
0.1	-0.000111361	-0.00081759
0.11	-0.000111361	-0.00081759
0.12	-0.000111361	-0.00081759
0.13	-0.000111361	-0.00081759
0.14	-0.000111361	-0.00081759
0.15	-0.000111361	-0.00081759
0.16	-0.000111361	-0.00081759
0.17	-0.000111361	-0.00081759
0.18	-0.000111361	-0.00081759
0.19	-0.000111361	-0.00081759
0.2	-0.000111361	-0.00081759
0.21	-0.000111361	-0.00081759
0.22	-0.000111361	-0.00081759
0.23	-0.000111361	-0.00081759
0.24	-0.000111361	-0.00081759
0.25	-0.000111361	-0.00081759
0.26	-0.000111361	-0.00081759
0.27	-0.000111361	-0.00081759
0.28	-0.000111361	-0.00081759
0.29	-0.000111361	-0.00081759
0.3	-0.000111361	-0.00081759
0.31	-0.000111361	-0.00081759
0.32	-0.00011136	-0.00081759
0.33	-0.00011136	-0.00081759
0.34	-0.00011136	-0.00081759
0.35	-0.00011136	-0.00081759
0.36	-0.00011136	-0.00081759
0.37	-0.00011136	-0.00081759
0.38	-0.00011136	-0.00081759
0.39	-0.00011136	-0.00081759
0.4	-0.00011136	-0.00081759
0.41	-0.00011136	-0.00081759
0.42	-0.00011136	-0.00081759
0.43	-0.00011136	-0.00081759
0.44	-0.00011136	-0.00081759
0.45	-0.00011136	-0.00081759
0.46	-0.00011136	-0.00081759
0.47	-0.00011136	-0.00081759
0.48	-0.00011136	-0.00081759
0.49	-0.00011136	-0.00081759
0.5	-0.00011136	-0.00081759
0.51	-0.00011136	-0.00081759
0.52	-0.00011136	-0.00081759
0.53	-0.00011136	-0.00081759
0.54	-0.00011136	-0.00081759
0.55	-0.00011136	-0.00081759
0.56	-0.00011136	-0.00081759
0.57	-0.00011136	-0.00081759
0.58	-0.00011136	-0.00081759
0.59	-0.00011136	-0.00081759
0.6	-0.00011136	-0.00081759
0.61	-0.00011136	-0.00081759
0.62	-0.00011136	-0.00081759
0.63	-0.00011136	-0.00081759
0.64	-0.00011136	-0.00081759
0.65	-0.00011136	-0.00081759
0.66	-0.00011136	-0.00081759
0.67	-0.00011136	-0.00081759
0.68	-0.00011136	-0.00081759
0.69	-0.00011136	-0.00081759
0.7	-0.00011136	-0.00081759
0.71	-0.00011136	-0.00081759
0.72	-0.00011136	-0.00081759
0.73	-0.00011136	-0.00081759
0.74	-0.00011136	-0.00081759
0.75	-0.00011136	-0.00081759
0.76	-0.00011136	-0.00081759
0.77	-0.00011136	-0.00081759
0.78	-0.00011136	-0.00081759
0.79	-0.00011136	-0.00081759
0.8	-0.00011136	-0.00081759
0.81	-0.00011136	-0.00081759
0.82	-0.00011136	-0.00081759
0.83	-0.00011136	-0.00081759
0.84	-0.00011136	-0.00081759
0.85	-0.00011136	-0.00081759
0.86	-0.00011136	-0.00081759
0.87	-0.00011136	-0.00081759
0.88	-0.00011136	-0.00081759
0.89	-0.00011136	-0.00081759
0.9	-0.00011136	-0.00081759
0.91	-0.00011136	-0.00081759
0.92	-0.00011136	-0.00081759
0.93	-0.000111359	-0.00081759
0.94	-0.000111359	-0.00081759
0.95	-0.000111359	-0.00081759
0.96	-0.000111359	-0.00081759
0.97	-0.000111359	-0.00081759
0.98	-0.000111359	-0.00081759
0.99	-0.000111359	-0.00081759
1	-0.000111359	-0.00081759
1.01	-0.000111359	-0.00081759
1.02	-0.000111359	-0.00081759
1.03	-0.000111359	-0.00081759
1.04	-0.000111359	-0.00081759
1.05	-0.000111359	-0.00081759
1.06	-0.000111359	-0.00081759
1.07	-0.000111359	-0.00081759
1.08	-0.000111359	-0.00081759
1.09	-0.000111359	-0.00081759
1.1	-0.000111359	-0.00081759
1.11	-0.000111359	-0.00081759
1.12	-0.000111359	-0.00081759
1.13	-0.000111359	-0.00081759
1.14	-0.000111359	-0.00081759
1.15	-0.000111359	-0.00081759
1.16	-0.000111359	-0.00081759
1.17	-0.000111359	-0.00081759
1.18	-0.000111359	-0.00081759
1.19	-0.000111359	-0.00081759
1.2	-0.000111359	-0.00081759
1.21	-0.000111359	-0.00081759
1.22	-0.000111359	-0.00081759
1.23	-0.000111359	-0.00081759
1.24	-0.000111359	-0.00081759
1.25	-0.000111359	-0.00081759
1.26	-0.000111359	-0.00081759
1.27	-0.000111359	-0.00081759
1.28	-0.000111359	-0.00081759
1.29	-0.000111359	-0.00081759
1.3	-0.000111359	-0.00081759
1.31	-0.000111358	-0.00081759
1.32	-0.000111358	-0.00081759
1.33	-0.000111358	-0.00081759
1.34	-0.000111358	-0.00081759
1.35	-0.000111358	-0.00081759
1.36	-0.000111358	-0.00081759
1.37	-0.000111358	-0.00081759
1.38	-0.000111358	-0.00081759
1.39	-0.000111358	-0.00081759
1.4	-0.000111358	-0.00081759
1.41	-0.000111358	-0.00081759
1.42	-0.000111358	-0.00081759
1.43	-0.000111358	-0.00081759
1.44	-0.000111358	-0.00081759
1.45	-0.000111358	-0.00081759
1.46	-0.000111358	-0.00081759
1.47	-0.000111358	-0.00081759
1.48	-0.000111358	-0.00081759
1.49	-0.000111358	-0.00081759
1.5	-0.000111358	-0.00081759
1.51	-0.000111358	-0.00081759
1.52	-0.000111358	-0.00081759
1.53	-0.000111358	-0.00081759
1.54	-0.000111358	-0.00081759
1.55	-0.000111358	-0.00081759
1.56	-0.000111358	-0.00081759
1.57	-0.000111358	-0.00081759
1.58	-0.000111358	-0.00081759
1.59	-0.000111358	-0.00081759
1.6	-0.000111358	-0.00081759
1.61	-0.000111358	-0.00081759
1.62	-0.000111358	-0.00081759
1.63	-0.000111357	-0.00081759
1.64	-0.000111357	-0.00081759
1.65	-0.000111357	-0.00081759
1.66	-0.000111357	-0.00081759
1.67	-0.000111357	-0.00081759
1.68	-0.000111357	-0.00081759
1.69	-0.000111357	-0.00081759
1.7	-0.000111357	-0.00081759
1.71	-0.000111357	-0.00081759
1.72	-0.000111357	-0.00081759
1.73	-0.000111357	-0.00081759
1.74	-0.000111357	-0.00081759
1.75	-0.000111357	-0.00081759
1.76	-0.000111357	-0.00081759
1.77	-0.000111357	-0.00081759
1.78	-0.000111357	-0.00081759
1.79	-0.000111357	-0.00081759
1.8	-0.000111357	-0.00081759
1.81	-0.000111357	-0.00081759
1.82	-0.000111357	-0.00081759
1.83	-0.000111357	-0.00081759
1.84	-0.000111357	-0.00081759
1.85	-0.000111357	-0.00081759
1.86	-0.000111357	-0.00081759
1.87	-0.000111357	-0.00081759
1.88	-0.000111357	-0.00081759
1.89	-0.000111357	-0.00081759
1.9	-0.000111357	-0.00081759
1.91	-0.000111356	-0.00081759
1.92	-0.000111356	-0.00081759
1.93	-0.000111356	-0.00081759
1.94	-0.000111356	-0.00081759
1.95	-0.000111356	-0.00081759
1.96	-0.000111356	-0.00081759
1.97	-0.000111356	-0.00081759
