Tiempo astronómico	Energía	Momento angular
0	-0.000111286	0.00355091
0.01	-0.000111286	0.00355091
0.02	-0.000111286	0.00355091
0.03	-0.000111286	0.00355091
0.04	-0.000111286	0.00355091
0.05	-0.000111286	0.00355091
0.06	-0.000111286	0.00355091
0.07	-0.000111286	0.00355091
0.08	-0.000111286	0.00355091
0.09	-0.000111286	0.00355091
0.1	-0.000111286	0.00355091
0.11	-0.000111286	0.00355091
0.12	-0.000111286	0.00355091
0.13	-0.000111286	0.00355091
0.14	-0.000111286	0.00355091
0.15	-0.000111286	0.00355091
0.16	-0.000111286	0.00355091
0.17	-0.000111286	0.00355091
0.18	-0.000111286	0.00355091
0.19	-0.000111286	0.00355091
0.2	-0.000111286	0.00355091
0.21	-0.000111286	0.00355091
0.22	-0.000111286	0.00355091
0.23	-0.000111286	0.00355091
0.24	-0.000111286	0.00355091
0.25	-0.000111286	0.00355091
0.26	-0.000111286	0.00355091
0.27	-0.000111286	0.00355091
0.28	-0.000111286	0.00355091
0.29	-0.000111286	0.00355091
0.3	-0.000111286	0.00355091
0.31	-0.000111286	0.00355091
0.32	-0.000111286	0.00355091
0.33	-0.000111286	0.00355091
0.34	-0.000111286	0.00355091
0.35	-0.000111286	0.00355091
0.36	-0.000111286	0.00355091
0.37	-0.000111286	0.00355091
0.38	-0.000111286	0.00355091
0.39	-0.000111286	0.00355091
0.4	-0.000111286	0.00355091
0.41	-0.000111286	0.00355091
0.42	-0.000111286	0.00355091
0.43	-0.000111286	0.00355091
0.44	-0.000111286	0.00355091
0.45	-0.000111286	0.00355091
0.46	-0.000111286	0.00355091
0.47	-0.000111286	0.00355091
0.48	-0.000111286	0.00355091
0.49	-0.000111286	0.00355091
0.5	-0.000111286	0.00355091
0.51	-0.000111286	0.00355091
0.52	-0.000111286	0.00355091
0.53	-0.000111286	0.00355091
0.54	-0.000111286	0.00355091
0.55	-0.000111286	0.00355091
0.56	-0.000111286	0.00355091
0.57	-0.000111286	0.00355091
0.58	-0.000111286	0.00355091
0.59	-0.000111286	0.00355091
0.6	-0.000111286	0.00355091
0.61	-0.000111286	0.00355091
0.62	-0.000111286	0.00355091
0.63	-0.000111286	0.00355091
0.64	-0.000111286	0.00355091
0.65	-0.000111286	0.00355091
0.66	-0.000111286	0.00355091
0.67	-0.000111286	0.00355091
0.68	-0.000111285	0.00355091
0.69	-0.000111285	0.00355091
0.7	-0.000111285	0.00355091
0.71	-0.000111285	0.00355091
0.72	-0.000111285	0.00355091
0.73	-0.000111285	0.00355091
0.74	-0.000111285	0.00355091
0.75	-0.000111285	0.00355091
0.76	-0.000111285	0.00355091
0.77	-0.000111285	0.00355091
0.78	-0.000111285	0.00355091
0.79	-0.000111285	0.00355091
0.8	-0.000111285	0.00355091
0.81	-0.000111285	0.00355091
0.82	-0.000111285	0.00355091
0.83	-0.000111285	0.00355091
0.84	-0.000111285	0.00355091
0.85	-0.000111285	0.00355091
0.86	-0.000111285	0.00355091
0.87	-0.000111285	0.00355091
0.88	-0.000111285	0.00355091
0.89	-0.000111285	0.00355091
0.9	-0.000111285	0.00355091
0.91	-0.000111285	0.00355091
0.92	-0.000111285	0.00355091
0.93	-0.000111285	0.00355091
0.94	-0.000111285	0.00355091
0.95	-0.000111285	0.00355091
0.96	-0.000111285	0.00355091
0.97	-0.000111285	0.00355091
0.98	-0.000111285	0.00355091
0.99	-0.000111285	0.00355091
1	-0.000111285	0.00355091
1.01	-0.000111285	0.00355091
1.02	-0.000111285	0.00355091
1.03	-0.000111285	0.00355091
1.04	-0.000111285	0.00355091
1.05	-0.000111285	0.00355091
1.06	-0.000111285	0.00355091
1.07	-0.000111285	0.00355091
1.08	-0.000111285	0.00355091
1.09	-0.000111285	0.00355091
1.1	-0.000111285	0.00355091
1.11	-0.000111285	0.00355091
1.12	-0.000111285	0.00355091
1.13	-0.000111285	0.00355091
1.14	-0.000111285	0.00355091
1.15	-0.000111285	0.00355091
1.16	-0.000111285	0.00355091
1.17	-0.000111285	0.00355091
1.18	-0.000111285	0.00355091
1.19	-0.000111285	0.00355091
1.2	-0.000111285	0.00355091
1.21	-0.000111285	0.00355091
1.22	-0.000111285	0.00355091
1.23	-0.000111285	0.00355091
1.24	-0.000111285	0.00355091
1.25	-0.000111285	0.00355091
1.26	-0.000111285	0.00355091
1.27	-0.000111285	0.00355091
1.28	-0.000111285	0.00355091
1.29	-0.000111285	0.00355091
1.3	-0.000111285	0.00355091
1.31	-0.000111285	0.00355091
1.32	-0.000111285	0.00355091
1.33	-0.000111285	0.00355091
1.34	-0.000111285	0.00355091
1.35	-0.000111285	0.00355091
1.36	-0.000111285	0.00355091
1.37	-0.000111285	0.00355091
1.38	-0.000111285	0.00355091
1.39	-0.000111285	0.00355091
1.4	-0.000111285	0.00355091
1.41	-0.000111285	0.00355091
1.42	-0.000111285	0.00355091
1.43	-0.000111285	0.00355091
1.44	-0.000111285	0.00355091
1.45	-0.000111285	0.00355091
1.46	-0.000111285	0.00355091
1.47	-0.000111285	0.00355091
1.48	-0.000111285	0.00355091
1.49	-0.000111285	0.00355091
1.5	-0.000111285	0.00355091
1.51	-0.000111285	0.00355091
1.52	-0.000111285	0.00355091
1.53	-0.000111285	0.00355091
1.54	-0.000111285	0.00355091
1.55	-0.000111285	0.00355091
1.56	-0.000111285	0.00355091
1.57	-0.000111285	0.00355091
1.58	-0.000111285	0.00355091
1.59	-0.000111285	0.00355091
1.6	-0.000111285	0.00355091
1.61	-0.000111285	0.00355091
1.62	-0.000111285	0.00355091
1.63	-0.000111285	0.00355091
1.64	-0.000111285	0.00355091
1.65	-0.000111285	0.00355091
1.66	-0.000111285	0.00355091
1.67	-0.000111285	0.00355091
1.68	-0.000111285	0.00355091
1.69	-0.000111285	0.00355091
1.7	-0.000111285	0.00355091
1.71	-0.000111285	0.00355091
1.72	-0.000111285	0.00355091
1.73	-0.000111285	0.00355091
1.74	-0.000111285	0.00355091
1.75	-0.000111285	0.00355091
1.76	-0.000111285	0.00355091
1.77	-0.000111285	0.00355091
1.78	-0.000111285	0.00355091
1.79	-0.000111285	0.00355091
1.8	-0.000111285	0.00355091
1.81	-0.000111285	0.00355091
1.82	-0.000111285	0.00355091
1.83	-0.000111285	0.00355091
1.84	-0.000111285	0.00355091
1.85	-0.000111285	0.00355091
1.86	-0.000111285	0.00355091
1.87	-0.000111285	0.00355091
1.88	-0.000111285	0.00355091
1.89	-0.000111285	0.00355091
1.9	-0.000111285	0.00355091
1.91	-0.000111285	0.00355091
1.92	-0.000111285	0.00355091
1.93	-0.000111285	0.00355091
1.94	-0.000111285	0.00355091
1.95	-0.000111285	0.00355091
1.96	-0.000111285	0.00355091
1.97	-0.000111285	0.00355091
1.98	-0.000111285	0.00355091
1.99	-0.000111285	0.00355091
2	-0.000111285	0.00355091
2.01	-0.000111284	0.00355091
2.02	-0.000111284	0.00355091
2.03	-0.000111284	0.00355091
2.04	-0.000111284	0.00355091
2.05	-0.000111284	0.00355091
2.06	-0.000111284	0.00355091
2.07	-0.000111284	0.00355091
2.08	-0.000111284	0.00355091
2.09	-0.000111284	0.00355091
2.1	-0.000111284	0.00355091
2.11	-0.000111284	0.00355091
